Keyword,Category,Priority,Reason,Avg Monthly Searches,Competition,Competition Index,Top Bid Low (USD),Top Bid High (USD)
quiero terapia,Effective,High,"Direct booking intent, medium competition — someone ready to start",50,Medium,39,,
terapia en línea,Effective,High,"Core service match, high competition confirms paid demand",50,High,79,0.45,1.93
terapia de pareja precio,Effective,High,"Price-checking = high intent; couples is a listed service",50,Medium,49,0.09,0.70
terapia para pareja,Effective,High,"Exact service match, medium competition",50,Medium,55,0.23,0.80
terapia emocional,Effective,High,"Broad but relevant; medium competition signals paid market",50,Medium,40,0.14,0.52
necesito terapia,Effective,High,"Problem-aware, high intent; matches Grace's empathetic tone",50,Low,29,,
empezar terapia,Effective,High,"Decision-stage intent — someone about to commit",50,Unknown,,,
necesito un terapeuta,Effective,High,"High intent; -100% 3-month trend worth watching",50,Unknown,,,
terapia de acompañamiento emocional,Effective,High,"Precise match to Grace's positioning language",50,Unknown,,,
terapia de estrés,Effective,Medium,"Symptom-based, direct service match",50,Low,20,,
terapia estres,Effective,Medium,"Variant spelling captures additional queries",50,Low,0,,
estres terapia,Effective,Medium,"Another variant — combine with above in same ad group",50,Low,0,,
vacío emocional,Effective,Medium,"Maps to Grace's listed symptom: 'sensación de vacío o desconexión'",50,Low,1,,
sensación de vacío,Effective,Medium,"Same intent as above, different phrasing",50,Low,0,,
sobrecarga emocional,Effective,Medium,"Maps to 'estrés o sobrecarga emocional' in services",50,Low,0,,
claridad emocional,Effective,Medium,"Echoes Grace's hero copy ('encontrar claridad') — brand-intent overlap",50,Low,0,,
quiero un cambio en mi vida,Effective,Low,"Transitional intent matches Grace's 'transiciones de vida' niche; low competition",50,Low,14,,
quiero hacer un cambio en mi vida,Effective,Low,"Same transitional intent, longer-tail variant",50,Unknown,,,
consulta de pareja,Effective,Low,"Couples service match; -100% YoY trend is a risk",50,Unknown,,,
terapia de relacion,Effective,Low,"Relational transitions is a service pillar; declining trend",50,Unknown,,,
no tener emociones,Effective,Low,"Symptom match for 'sensación de vacío / desconexión'; very niche",50,Low,0,,
dificultad para sentir emociones,Effective,Low,"Niche symptom match; both trend metrics negative — monitor",50,Unknown,,,
acompañamiento online,Effective,Low,"Matches Grace's terminology exactly; -100% 3-month decline — monitor",50,Unknown,,,
psicologia gratis,Negative,,"'Gratis' signals zero payment intent — pure budget drain",500,Low,32,0.10,0.45
psicologia gratuita,Negative,,"Same as above — 'gratuita' variant",50,Medium,35,0.15,0.56
terapeuta gratis en linea,Negative,,"Free-seeker, will not convert to paid session",50,Unknown,,,
terapia en línea gratuita,Negative,,"'Gratuita' + high competition index = expensive clicks that won't convert",50,High,69,0.06,0.25
